user,VIP,dynamic,foucs,fans,district,listen_songs,acclaim,comment,time,content
露玫花exo,False,1,8,1,浙江省 - 湖州市,190,0,1,2020-06-09 07:25:10,九年了。。。。
大白兔奶糖mi,False,0,15,1,,2106,0,0,2020-06-08 23:33:57,听完就睡觉了[可爱][可爱]
墨燃煜,True,7,26,16,,5592,0,0,2020-06-08 17:05:27,旋律太好了
路痴者,False,0,18,7,河南省 - 郑州市,17514,1,0,2020-06-08 16:14:32,孙燕姿的咬字和节奏独具一格，精品很多，好歌声，好歌手
躯壳001,False,2,5,3,河南省 - 濮阳市,4028,1,0,2020-06-08 13:03:30,不能自拔，不懂退出
鞠蒨文,False,2,1,49,山东省 - 青岛市,17150,0,0,2020-06-08 13:02:21,曾美丽 但还是不满足
BunnySean,False,5,0,0,,1655,1,0,2020-06-08 12:58:24,制造痛苦的人还在想着怎样制造更多的痛苦，该怎么办呀。不知道会怎样。（喜欢歌曲，来听歌倾诉一番）
别样的调调,True,1,7,5,河南省 - 周口市,6807,0,0,2020-06-08 10:06:08,真好听
小黄厨艺超好,True,7,6,20,河北省 - 承德市,5691,0,1,2020-06-08 07:12:10,不尽人事
谁家的媛儿姐,True,0,3,2,广西 - 柳州市,1483,1,0,2020-06-07 23:45:12,最后还是回到了 原点，我不难过，是时候，半句再见 在 也不见。
谁家的媛儿姐,True,0,3,2,广西 - 柳州市,1483,0,0,2020-06-07 23:44:57,关于 未完成 的 心愿，懒得去管。一样的夏天，不同 的天空，风筝 逆光 飘着 超快感。难得一见 那是 天使的指纹，This moment这个世界 极美。星期一 天气晴 我离开你，我很愉快 祝你开心。
谁家的媛儿姐,True,0,3,2,广西 - 柳州市,1483,2,0,2020-06-07 23:44:44,          ——我也很想她  就在日落以前。
泠叁零柒,False,0,19,2,湖北省 - 宜昌市,604,0,0,2020-06-07 23:37:12,初恋喜欢孙燕姿，认识她以前我迷了蔡依林好几年
Chinsear,False,3,6,1,海外 - 冰岛,5752,0,0,2020-06-07 15:40:42,来 你能不能再重复 ，写这歌的是东北人？
Dou_Zi_,True,194,4,0,浙江省 - 金华市,4762,0,0,2020-06-07 13:06:20,要疯了
梦里梦她后知后觉后想念,False,0,3,1,安徽省 - 六安市,132,0,1,2020-06-06 23:17:06,有
bolijigua,True,3,93,2,,6092,0,1,2020-06-06 14:27:36,有好转吗
-Yang-Ya,False,2,20,11,黑龙江省 - 哈尔滨市,2972,0,1,2020-06-06 00:51:19,哇真的
紫幻色的背影,False,4,55,19,海外 - 玻利维亚,5667,0,1,2020-06-05 23:40:13,那个人是多少辈子修来是福气，让汝喜之四年
紫幻色的背影,False,4,55,19,海外 - 玻利维亚,5667,0,0,2020-06-05 23:38:38,我们都回不到最初。这是一场演出，答案清楚，却不知怎样谢幕，是哭，是笑
我今天早睡了鸭,True,2,13,4,安徽省 - 宿州市,4334,0,1,2020-06-05 14:34:41,9年了
张思妄,False,2420,17,117454,广东省 - 揭阳市,11031,0,1,2020-06-05 05:39:02,逃
我是不甜_,False,0,24,1,,4076,0,0,2020-06-05 00:48:24,怎么爱还是不满足
Steven-Kong,False,33,10,4,,16543,0,1,2020-06-04 23:35:58,抓
花房98,False,34,13,16,陕西省 - 西安市,3954,1,0,2020-06-04 23:30:03,“爱是愚人的国度，不能自拔，不懂退出。”
Britber_Crystallize,True,1247,179,365,,6836,0,1,2020-06-04 17:44:28,B站有个人头像跟你一样厚
Amilkyway,False,0,14,2,四川省 - 广安市,827,0,1,2020-06-04 08:50:40,十年了
